dataset,it,size,implementation,pearson,cut,ymin,lower,middle,upper,ymax
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,11,2.084998840246044e-13,0.054570032344912256,0.670092451842478,1.1956839076645083,1.9999999999935554
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,12,9.083067631365793e-12,0.08186297091476802,0.7758945254517926,1.2767322727270873,1.9999999999966787
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,13,7.044365091246618e-13,0.12282696363751366,0.8397247328430588,1.3436166906434157,1.9999999998781095
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,14,5.092815058560518e-12,0.16562167520777907,0.8796460466473643,1.3944297913727002,1.9999999999949791
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,15,9.287015600989434e-13,0.20615452082404592,0.9075170023682615,1.434949657489077,1.999999999850799
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,16,4.524158825347513e-13,0.24528587178182953,0.9268454704638955,1.4711631170020167,1.999999999992656
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,17,2.0888513141414933e-11,0.26864430992265886,0.9344052007945959,1.4946781846626433,1.9999999999976492
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,18,7.893685705084863e-14,0.2869283592828451,0.9389275133932395,1.518486019936047,1.9999999999856848
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,19,2.028599510595086e-12,0.29961983698929207,0.935528133886555,1.5351664540559204,1.9999999999999707
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,20,2.070177362867298e-11,0.31430106950391823,0.9348934527500452,1.557033056801667,1.9999999999947662
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,21,2.8954616482224083e-13,0.32732814434899116,0.934833775362172,1.5821408446172605,1.999999999996332
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,22,3.3075764349632664e-12,0.3401393523157615,0.9344510490703413,1.608946583401807,1.9999999999996048
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,23,1.3259060516190857e-11,0.35320147666981533,0.9378000134642586,1.637672336571163,1.9999999999930516
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,24,6.469269564490787e-13,0.36642861120140635,0.943218171016457,1.6653273643076552,1.999999999993632
