dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_25000,1,25000,jl32_opt,RunPCA,3.043347081,20
subsample_it_1_size_25000,1,25000,jl32_opt,FindNeighbors,0.693236018,20
subsample_it_1_size_25000,1,25000,jl32_opt,FindClusters,4.789273875,20
subsample_it_1_size_25000,1,25000,jl32_opt,RunUMAP,42.023916491,20
subsample_it_1_size_25000,1,25000,jl32_opt,FindAllMarkers,9.48905211,20
subsample_it_1_size_25000,1,25000,jl_opt,CreateSeuratObject,1.848001018,22
subsample_it_1_size_25000,1,25000,jl_opt,NormalizeData,1.38590601,22
subsample_it_1_size_25000,1,25000,jl_opt,FindVariableFeatures,1.097681848,22
subsample_it_1_size_25000,1,25000,jl_opt,ScaleData,0.14335713,22
subsample_it_1_size_25000,1,25000,jl_opt,RunPCA,3.890489223,22
subsample_it_1_size_25000,1,25000,jl_opt,FindNeighbors,0.744796124,22
subsample_it_1_size_25000,1,25000,jl_opt,FindClusters,5.338041252,22
subsample_it_1_size_25000,1,25000,jl_opt,RunUMAP,44.994105997,22
subsample_it_1_size_25000,1,25000,jl_opt,FindAllMarkers,11.733183659,22
subsample_it_1_size_250000,1,250000,R,CreateSeuratObject,90.629887891,28
subsample_it_1_size_250000,1,250000,R,NormalizeData,33.009151562,28
subsample_it_1_size_250000,1,250000,R,FindVariableFeatures,102.767027144,28
subsample_it_1_size_250000,1,250000,R,ScaleData,30.203800217,28
subsample_it_1_size_250000,1,250000,R,RunPCA,330.647161515,28
subsample_it_1_size_250000,1,250000,R,FindNeighbors,86.318847796,28
subsample_it_1_size_250000,1,250000,R,FindClusters,187.858403174,28
subsample_it_1_size_250000,1,250000,R,RunUMAP,542.08146843,28
subsample_it_1_size_250000,1,250000,R,FindAllMarkers,35930.012751948,28
subsample_it_1_size_250000,1,250000,jl,CreateSeuratObject,18.899020195,27
subsample_it_1_size_250000,1,250000,jl,NormalizeData,13.723637023,27
subsample_it_1_size_250000,1,250000,jl,FindVariableFeatures,7.320374264,27
subsample_it_1_size_250000,1,250000,jl,ScaleData,2.081649386,27
subsample_it_1_size_250000,1,250000,jl,RunPCA,233.151250803,27
subsample_it_1_size_250000,1,250000,jl,FindNeighbors,15.452752054,27
subsample_it_1_size_250000,1,250000,jl,FindClusters,186.31414814,27
subsample_it_1_size_250000,1,250000,jl,RunUMAP,733.087358234,27
subsample_it_1_size_250000,1,250000,jl,FindAllMarkers,393.818776773,27
subsample_it_1_size_250000,1,250000,jl32,CreateSeuratObject,19.170364691,23
subsample_it_1_size_250000,1,250000,jl32,NormalizeData,11.473920866,23
subsample_it_1_size_250000,1,250000,jl32,FindVariableFeatures,6.728979549,23
subsample_it_1_size_250000,1,250000,jl32,ScaleData,1.76030233,23
subsample_it_1_size_250000,1,250000,jl32,RunPCA,137.728216752,23
subsample_it_1_size_250000,1,250000,jl32,FindNeighbors,12.855624805,23
subsample_it_1_size_250000,1,250000,jl32,FindClusters,151.73470808,23
subsample_it_1_size_250000,1,250000,jl32,RunUMAP,665.904591022,23
subsample_it_1_size_250000,1,250000,jl32,FindAllMarkers,293.041717749,23
subsample_it_1_size_250000,1,250000,py,CreateSeuratObject,17.6252901,21
subsample_it_1_size_250000,1,250000,py,NormalizeData,12.615120149,21
