dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_125000,1,125000,jl_opt,FindVariableFeatures,3.842780669,26
subsample_it_1_size_125000,1,125000,jl_opt,ScaleData,1.045278714,26
subsample_it_1_size_125000,1,125000,jl_opt,RunPCA,20.988709669,26
subsample_it_1_size_125000,1,125000,jl_opt,FindNeighbors,5.88203023,26
subsample_it_1_size_125000,1,125000,jl_opt,FindClusters,62.173396807,26
subsample_it_1_size_125000,1,125000,jl_opt,RunUMAP,239.605165513,26
subsample_it_1_size_125000,1,125000,jl_opt,FindAllMarkers,57.73191919,26
subsample_it_1_size_25000,1,25000,R,CreateSeuratObject,9.96878182,20
subsample_it_1_size_25000,1,25000,R,NormalizeData,3.353580109,20
subsample_it_1_size_25000,1,25000,R,FindVariableFeatures,10.165058807,20
subsample_it_1_size_25000,1,25000,R,ScaleData,3.476572711,20
subsample_it_1_size_25000,1,25000,R,RunPCA,25.273732263,20
subsample_it_1_size_25000,1,25000,R,FindNeighbors,7.058756943,20
subsample_it_1_size_25000,1,25000,R,FindClusters,5.492411092,20
subsample_it_1_size_25000,1,25000,R,RunUMAP,46.606253521,20
subsample_it_1_size_25000,1,25000,R,FindAllMarkers,788.972893938,20
subsample_it_1_size_25000,1,25000,jl,CreateSeuratObject,2.023681358,22
subsample_it_1_size_25000,1,25000,jl,NormalizeData,1.584173483,22
subsample_it_1_size_25000,1,25000,jl,FindVariableFeatures,1.014546493,22
subsample_it_1_size_25000,1,25000,jl,ScaleData,0.157627117,22
subsample_it_1_size_25000,1,25000,jl,RunPCA,21.260664395,22
subsample_it_1_size_25000,1,25000,jl,FindNeighbors,1.18095142,22
subsample_it_1_size_25000,1,25000,jl,FindClusters,5.543776192,22
subsample_it_1_size_25000,1,25000,jl,RunUMAP,66.380550789,22
subsample_it_1_size_25000,1,25000,jl,FindAllMarkers,35.069631123,22
subsample_it_1_size_25000,1,25000,jl32,CreateSeuratObject,2.677383661,21
subsample_it_1_size_25000,1,25000,jl32,NormalizeData,1.151441205,21
subsample_it_1_size_25000,1,25000,jl32,FindVariableFeatures,0.930326099,21
subsample_it_1_size_25000,1,25000,jl32,ScaleData,0.073802512,21
subsample_it_1_size_25000,1,25000,jl32,RunPCA,10.268153089,21
subsample_it_1_size_25000,1,25000,jl32,FindNeighbors,0.65948911,21
subsample_it_1_size_25000,1,25000,jl32,FindClusters,6.465073078,21
subsample_it_1_size_25000,1,25000,jl32,RunUMAP,61.62510575,21
subsample_it_1_size_25000,1,25000,jl32,FindAllMarkers,31.668967991,21
subsample_it_1_size_25000,1,25000,py,CreateSeuratObject,1.759765494,14
subsample_it_1_size_25000,1,25000,py,NormalizeData,1.223804202,14
subsample_it_1_size_25000,1,25000,py,FindVariableFeatures,5.014549793,14
subsample_it_1_size_25000,1,25000,py,ScaleData,0.661106514,14
subsample_it_1_size_25000,1,25000,py,RunPCA,6.192443213,14
subsample_it_1_size_25000,1,25000,py,FindNeighbors,4.412046245,14
subsample_it_1_size_25000,1,25000,py,FindClusters,2.816668306,14
subsample_it_1_size_25000,1,25000,py,RunUMAP,74.526775644,14
subsample_it_1_size_25000,1,25000,py,FindAllMarkers,407.265615498,14
subsample_it_1_size_25000,1,25000,jl32_opt,CreateSeuratObject,2.908681812,19
subsample_it_1_size_25000,1,25000,jl32_opt,NormalizeData,1.207627203,19
subsample_it_1_size_25000,1,25000,jl32_opt,FindVariableFeatures,0.939363303,19
subsample_it_1_size_25000,1,25000,jl32_opt,ScaleData,0.118499146,19
subsample_it_1_size_25000,1,25000,jl32_opt,RunPCA,3.223171811,19
subsample_it_1_size_25000,1,25000,jl32_opt,FindNeighbors,0.695698649,19
subsample_it_1_size_25000,1,25000,jl32_opt,FindClusters,4.874142083,19
subsample_it_1_size_25000,1,25000,jl32_opt,RunUMAP,42.348270081,19
subsample_it_1_size_25000,1,25000,jl32_opt,FindAllMarkers,3.218337634,19
subsample_it_1_size_25000,1,25000,jl_opt,CreateSeuratObject,4.991777248,20
subsample_it_1_size_25000,1,25000,jl_opt,NormalizeData,1.394318525,20
subsample_it_1_size_25000,1,25000,jl_opt,FindVariableFeatures,1.018850318,20
subsample_it_1_size_25000,1,25000,jl_opt,ScaleData,0.157263881,20
subsample_it_1_size_25000,1,25000,jl_opt,RunPCA,4.237746348,20
subsample_it_1_size_25000,1,25000,jl_opt,FindNeighbors,0.738866751,20
subsample_it_1_size_25000,1,25000,jl_opt,FindClusters,4.437674079,20
subsample_it_1_size_25000,1,25000,jl_opt,RunUMAP,45.351213812,20
subsample_it_1_size_25000,1,25000,jl_opt,FindAllMarkers,10.893742965,20
subsample_it_1_size_250000,1,250000,R,CreateSeuratObject,100.826111776,28
subsample_it_1_size_250000,1,250000,R,NormalizeData,36.928599496,28
subsample_it_1_size_250000,1,250000,R,FindVariableFeatures,108.894259909,28
subsample_it_1_size_250000,1,250000,R,ScaleData,32.236226477,28
subsample_it_1_size_250000,1,250000,R,RunPCA,379.369268402,28
subsample_it_1_size_250000,1,250000,R,FindNeighbors,86.973618172,28
subsample_it_1_size_250000,1,250000,R,FindClusters,191.038814375,28
subsample_it_1_size_250000,1,250000,R,RunUMAP,565.836302749,28
subsample_it_1_size_250000,1,250000,R,FindAllMarkers,37443.012944817,28
subsample_it_1_size_250000,1,250000,jl,CreateSeuratObject,20.52729741,25
subsample_it_1_size_250000,1,250000,jl,NormalizeData,14.066121961,25
subsample_it_1_size_250000,1,250000,jl,FindVariableFeatures,7.126143183,25
subsample_it_1_size_250000,1,250000,jl,ScaleData,1.91265431,25
subsample_it_1_size_250000,1,250000,jl,RunPCA,252.037215369,25
subsample_it_1_size_250000,1,250000,jl,FindNeighbors,16.089620907,25
subsample_it_1_size_250000,1,250000,jl,FindClusters,206.44656802,25
subsample_it_1_size_250000,1,250000,jl,RunUMAP,730.095769378,25
subsample_it_1_size_250000,1,250000,jl,FindAllMarkers,321.309094134,25
subsample_it_1_size_250000,1,250000,jl32,CreateSeuratObject,19.590955124,26
subsample_it_1_size_250000,1,250000,jl32,NormalizeData,11.877919836,26
subsample_it_1_size_250000,1,250000,jl32,FindVariableFeatures,10.075776507,26
subsample_it_1_size_250000,1,250000,jl32,ScaleData,2.229649548,26
subsample_it_1_size_250000,1,250000,jl32,RunPCA,149.622078046,26
subsample_it_1_size_250000,1,250000,jl32,FindNeighbors,13.948441352,26
subsample_it_1_size_250000,1,250000,jl32,FindClusters,146.321818174,26
subsample_it_1_size_250000,1,250000,jl32,RunUMAP,673.286083158,26
subsample_it_1_size_250000,1,250000,jl32,FindAllMarkers,350.610535116,26
subsample_it_1_size_250000,1,250000,py,CreateSeuratObject,18.176893848,21
subsample_it_1_size_250000,1,250000,py,NormalizeData,12.751927338,21
subsample_it_1_size_250000,1,250000,py,FindVariableFeatures,56.188250285,21
subsample_it_1_size_250000,1,250000,py,ScaleData,6.74084939,21
subsample_it_1_size_250000,1,250000,py,RunPCA,69.673415509,21
